time,Queue Operation Theater,Operational
1000.00,0,False
1010.00,0,False
1020.00,0,False
1030.00,1,True
1040.00,0,True
1050.00,0,True
1060.00,0,True
1070.00,0,True
1080.00,0,True
1090.00,0,True
1100.00,0,False
1110.00,0,False
1120.00,0,True
1130.00,0,True
1140.00,1,True
1150.00,1,True
1160.00,0,True
1170.00,1,True
1180.00,0,True
1190.00,1,True
1200.00,1,True
1210.00,1,True
1220.00,2,True
1230.00,2,True
1240.00,2,True
1250.00,1,True
1260.00,0,True
1270.00,0,True
1280.00,1,True
1290.00,1,True
1300.00,1,True
1310.00,2,True
1320.00,2,True
1330.00,1,True
1340.00,2,True
1350.00,2,True
1360.00,2,True
1370.00,1,True
1380.00,1,True
1390.00,1,True
1400.00,1,True
1410.00,2,True
1420.00,2,True
1430.00,2,True
1440.00,1,True
1450.00,1,True
1460.00,0,True
1470.00,0,False
1480.00,0,True
1490.00,0,True
1500.00,1,True
1510.00,0,False
1520.00,0,False
1530.00,0,False
1540.00,0,False
1550.00,0,False
1560.00,0,False
1570.00,0,False
1580.00,0,False
1590.00,0,True
1600.00,0,False
1610.00,0,False
1620.00,0,False
1630.00,0,False
1640.00,0,False
1650.00,0,False
1660.00,0,True
1670.00,1,True
1680.00,1,True
1690.00,0,False
1700.00,0,False
1710.00,1,True
1720.00,2,True
1730.00,2,True
1740.00,2,True
1750.00,2,True
1760.00,2,True
1770.00,2,True
1780.00,2,True
1790.00,2,True
1800.00,2,True
1810.00,2,True
1820.00,3,True
1830.00,1,True
1840.00,2,True
1850.00,2,True
1860.00,0,True
1870.00,0,True
1880.00,1,True
1890.00,1,True
1900.00,1,True
1910.00,1,True
1920.00,1,True
1930.00,2,True
1940.00,2,True
1950.00,2,True
1960.00,2,True
1970.00,1,True
1980.00,0,True
1990.00,0,False
2000.00,0,False
